                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8606,                 8.4284,                 3.0704,                      0,                      0,                      0,                      0,                  6.209,                 8.3122,                 3.0795,                      0,                      0,                      0
                      2,                 5.9549,                 8.3497,                 2.9616,                      0,                      0,                      0,                      0,                  6.121,                 8.3113,                 3.0337,             1.2875e-05,             1.2875e-05,             1.2875e-05
                      3,                 6.1173,                  8.397,                 2.9383,                      0,                      0,                      0,                      0,                 5.9689,                  8.309,                 2.9611,             2.2921e-05,             2.2921e-05,             2.2921e-05
                      4,                 5.7287,                 8.2967,                   2.83,                      0,                      0,                      0,                      0,                 5.7689,                 8.3067,                 2.8754,             3.0138e-05,             3.0138e-05,             3.0138e-05
                      5,                 8.0418,                 8.5795,                 3.1959,                      0,                      0,                      0,                      0,                 5.5583,                 8.3009,                 2.7911,             3.4525e-05,             3.4525e-05,             3.4525e-05
                      6,                 7.4709,                 8.3606,                 3.0325,                      0,                      0,                      0,                      0,                 5.4355,                 8.2942,                 2.7271,             3.6082e-05,             3.6082e-05,             3.6082e-05
                      7,                 4.8586,                 8.2377,                 2.7412,                      0,                      0,                      0,                      0,                 5.2957,                 8.2858,                 2.6713,              3.481e-05,              3.481e-05,              3.481e-05
                      8,                 4.7121,                 8.2274,                  2.485,                      0,                      0,                      0,                      0,                 5.1881,                 8.2784,                 2.6415,             3.0709e-05,             3.0709e-05,             3.0709e-05
                      9,                 4.8935,                 8.1922,                 2.4784,                      0,                      0,                      0,                      0,                 5.1218,                 8.2748,                 2.6193,             2.3779e-05,             2.3779e-05,             2.3779e-05
                     10,                 4.8753,                 8.1341,                 2.4888,                      0,                      0,                      0,                      0,                  5.048,                 8.2734,                 2.5951,             1.4018e-05,             1.4018e-05,             1.4018e-05
