                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2509,                 8.2657,                 2.8058,                0.00064,                0.00093,                0.00032,                  6e-05,                 5.1749,                 8.3166,                 2.7502,                      0,                      0,                      0
                      2,                 5.5346,                  8.342,                 2.7774,                0.00056,                0.00093,                0.00028,                  6e-05,                 5.1319,                 8.3131,                 2.7088,             1.2875e-05,             1.2875e-05,             1.2875e-05
                      3,                 5.2991,                  8.236,                 2.7634,                0.00052,                0.00093,                0.00026,                  8e-05,                 5.0621,                 8.3091,                 2.6569,             2.2921e-05,             2.2921e-05,             2.2921e-05
                      4,                 5.1803,                 8.1866,                 2.6653,                0.00049,                0.00093,                0.00025,                  7e-05,                 4.9596,                 8.3023,                  2.577,             3.0138e-05,             3.0138e-05,             3.0138e-05
                      5,                  4.966,                 8.0975,                 2.5695,                 0.0009,                0.00185,                0.00045,                  5e-05,                 4.8648,                 8.2761,                 2.5075,             3.4525e-05,             3.4525e-05,             3.4525e-05
                      6,                 4.6128,                 7.9676,                 2.5097,                0.00045,                0.00093,                0.00023,                  2e-05,                 4.8066,                  8.257,                 2.4532,             3.6082e-05,             3.6082e-05,             3.6082e-05
                      7,                 4.5327,                 7.9815,                 2.3556,                0.00089,                0.00185,                0.00045,                  9e-05,                 4.7306,                 8.2329,                 2.4048,              3.481e-05,              3.481e-05,              3.481e-05
                      8,                 4.3815,                 7.9919,                 2.3401,                0.00092,                0.00185,                0.00046,                  9e-05,                 4.6415,                  8.198,                 2.3494,             3.0709e-05,             3.0709e-05,             3.0709e-05
                      9,                  4.684,                  7.892,                  2.412,                0.00094,                0.00185,                0.00047,                  7e-05,                 4.5707,                 8.1695,                 2.3133,             2.3779e-05,             2.3779e-05,             2.3779e-05
                     10,                 4.5306,                 7.8569,                 2.2845,                0.00144,                0.00278,                0.00073,                0.00015,                 4.5162,                 8.1495,                 2.2935,             1.4018e-05,             1.4018e-05,             1.4018e-05
